titulo,tipo_de_producto,serie,procesador,disco_duro_tipo_de_disco_duro,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,sistema_operativo_sistema_operativo,procesador_nombre_clave,ram_tipo,procesador_numero_nucleos,grafica_tarjeta,comunicaciones_estandar_lan,tipo,propiedades_de_la_carcasa_tipo_de_caja,adecuado_para,procesador_zocalo_de_cpu,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_turbo_max_ghz,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,grafica_memoria_mb,alimentacion_wattage_binned,custom_category,equip_altavoces_estéreo,equip_refrigeración_líquida,equip_usb_c
Actina PC (5901443337584),PC gaming,Actina PC,AMD Ryzen 5 5600,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Vermeer,DDR4,6.0,NVIDIA GeForce RTX 4060 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,1151.99,1360.43,1256.21,29.4,16.8,32.0,16.0,3200.0,1000.0,4.4,29.0,3.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Minisforum UN1290,Mini PC,Minisforum,Intel Core i9-12900,disco duro SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,16.0,Intel UHD Graphics 770,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,343.0,479.0,411.0,29.4,16.8,30.0,16.0,3200.0,1000.0,5.1,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Apple Mac mini M4 [2024]
MCX44D/A",Mini PC,Apple Mac Mini,Apple M4 Pro,disco duro SSD,Apple,Apple M,1.0,macOS Sequoia,Raptor Lake,DDR4,12.0,Apple M4 Pro 16-Core GPU,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,1615.71,1615.71,1615.71,12.7,12.7,18.0,24.0,3200.0,512.0,4.7,5.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Zone Evil ZE-130053,PC gaming,Zone Evil,Intel Core i5-12400F,disco duro SSD,Intel,Core i5,1.0,FreeDOS,Alder Lake,DDR4,6.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,669.12,843.0,756.06,27.3,48.1,18.0,16.0,3200.0,500.0,4.4,49.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
MSI Cubi 12M,Mini PC,MSI Cubi,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,LAN 10/100/1000/2500/5000/10000,Desktop,cubo,"empresas, principiante",Socket 1700,229.95,1173.52,701.74,12.4,12.4,18.0,16.0,3200.0,1000.0,4.7,5.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Ankermann Business V2 Work Desktop PC (4260561746786),PC de oficina,Ankermann Business,Intel Core i7-10700F,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Comet Lake,DDR4,8.0,NVIDIA GeForce GT 710,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1200,699.0,719.0,709.0,40.5,17.4,16.0,32.0,2666.0,1000.0,4.8,37.0,2.8,65.0,1024.0,High_Power (501-850W),Desktop_PC,0,0,0
Actina ENDORFY 14600KF / 32GB / 1TB / RX7900XT / 750W,PC gaming,Actina ENDORFY,Intel Core i5-14600KF,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake Refresh,DDR4,14.0,AMD Radeon RX 7900 XT,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,2200.86,2200.86,2200.86,29.4,16.8,24.0,32.0,3200.0,1000.0,5.3,29.0,3.5,125.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Blackview MP80,Mini PC,Blackview,Unknown,disco duro M.2 SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,4.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,mini ITX,"profesional, bricolaje",Socket 1700,173.0,249.99,211.5,8.8,8.8,18.0,16.0,3200.0,1000.0,4.7,3.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Zone Evil ZE-130053
ZE-130053-D",PC gaming,Zone Evil,Intel Core i5-12400F,disco duro SSD,Intel,Core i5,1.0,FreeDOS,Alder Lake,DDR4,6.0,NVIDIA GeForce RTX 3050,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,691.59,752.31,721.95,27.3,48.1,18.0,64.0,3200.0,500.0,4.4,49.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Deep Gaming Nexus,PC gaming,Deep Gaming Nexus,AMD Ryzen 7 5700G,disco duro SSD,AMD,Ryzen 7,2.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,457.0,605.0,531.0,39.0,21.0,18.0,16.0,3200.0,480.0,4.7,43.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
