titulo,tipo_de_producto,serie,procesador,disco_duro_tipo_de_disco_duro,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,sistema_operativo_sistema_operativo,procesador_nombre_clave,ram_tipo,procesador_numero_nucleos,grafica_tarjeta,comunicaciones_estandar_lan,tipo,propiedades_de_la_carcasa_tipo_de_caja,adecuado_para,procesador_zocalo_de_cpu,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_turbo_max_ghz,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,grafica_memoria_mb,alimentacion_wattage_binned,custom_category,equip_altavoces_estéreo,equip_refrigeración_líquida,equip_usb_c
Actina Endorfy 13400F / 32GB / 2TB / RTX4060 / 600W / W11H,PC gaming,Actina Endorfy,Intel Core i5-13400F,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Home,Raptor Lake,DDR4,10.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1382.61,1382.61,1382.61,29.4,16.8,20.0,32.0,3200.0,2000.0,4.6,29.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox II-7 Gaming PC i5-10400 / GTX 1660 Super,PC gaming,Vibox,Intel Core i5-10400,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Comet Lake-S,DDR4,6.0,NVIDIA GeForce GTX 1660 Super,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,899.95,899.95,899.95,29.4,16.8,12.0,16.0,3200.0,1000.0,4.3,29.0,2.9,65.0,6144.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST RGB LOOK GAMER i9-11900F 32GB RTX 4060 1TB WIFI Win11,PC gaming,VIST RGB LOOK,Intel Core i9-11900F,disco duro SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Rocket Lake-S,DDR4,8.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1184.9,1184.9,1184.9,29.4,16.8,16.0,32.0,3200.0,1000.0,5.0,29.0,2.2,65.0,1024.0,High_Power (501-850W),Desktop_PC,0,0,0
Sedatech UCCF220I2I1HF (i5-14600KF / RTX4060 / 32GB / 2TB),PC gaming,Sedatech,Intel Core i5-14600KF,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake Refresh,DDR4,14.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,1459.9,1459.9,1459.9,29.4,16.8,24.0,32.0,3200.0,2000.0,5.3,29.0,3.5,125.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
HP EliteDesk 800 G3,Mini PC,HP EliteDesk,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),gaming,Socket 1700,2060.99,2060.99,2060.99,17.7,17.5,18.0,16.0,3200.0,1000.0,4.7,3.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Captiva Power Starter R64,PC de oficina,Captiva Power Starter,AMD Ryzen 5 5600G,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,562.99,752.99,657.99,40.5,17.5,18.0,16.0,3200.0,1000.0,4.7,37.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Actina PC (5901443335924),PC gaming,Actina PC,AMD Ryzen 7 5700X,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Vermeer,DDR4,8.0,NVIDIA GeForce RTX 4070,Ethernet 10/100/1000,Desktop,minitorre,gaming,Socket AM4,2280.58,2280.58,2280.58,29.4,16.8,32.0,32.0,3200.0,1000.0,4.6,29.0,3.4,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox X-8 Gaming PC i9-13900KF / RTX 4070 Ti,PC gaming,Vibox,Intel Core i9-13900KF,disco duro M.2 SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,24.0,NVIDIA GeForce RTX 4070 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,2499.95,2499.95,2499.95,29.4,16.8,36.0,32.0,3200.0,1000.0,5.8,29.0,3.0,125.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST ARGB PRO PC Ryzen 7 7700 / RTX 4070 / 32GB / SSD 2TB / WiFi6 BT W11 USB C DLSS 3,PC gaming,VIST ARGB PRO,AMD Ryzen 7 7700,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Raphael,DDR4,8.0,NVIDIA GeForce RTX 4070,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM5,1613.9,1613.9,1613.9,29.4,16.8,32.0,32.0,3200.0,2000.0,5.3,29.0,3.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Sedatech UCCF226I2I1HF (i9-14900KF / RTX4060 / 32GB / 2TB),PC gaming,Sedatech,Intel Core i9-14900KF,disco duro SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Raptor Lake Refresh,DDR4,24.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,1759.9,1759.9,1759.9,29.4,16.8,36.0,32.0,3200.0,2000.0,6.0,29.0,3.2,125.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Captiva Highend Gaming R81
R81-695",PC gaming,Captiva Highend Gaming,AMD Ryzen 9 7950X,disco duro SSD,AMD,Ryzen 9,1.0,Microsoft Windows 11 Home,Raphael,DDR4,16.0,NVIDIA GeForce RTX 4070 Super,Ethernet 10/100/1000,Desktop,semitorre,gaming,Socket AM5,3042.39,3042.39,3042.39,43.0,21.0,64.0,32.0,3200.0,2000.0,5.7,44.0,4.5,170.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
Actina PBA 13400F / 32GB / 1TB / RTX4070 / 650W,PC gaming,Actina PBA,Intel Core i5-13400F,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,10.0,NVIDIA GeForce RTX 4070,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,2359.05,2359.05,2359.05,29.4,16.8,20.0,32.0,3200.0,1000.0,4.6,29.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox II-28 Gaming PC i5-10400 / GTX 1650,PC gaming,Vibox,Intel Core i5-10400,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Comet Lake-S,DDR4,6.0,NVIDIA GeForce GTX 1650,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,879.95,879.95,879.95,29.4,16.8,12.0,16.0,3200.0,1000.0,4.3,29.0,2.9,65.0,4096.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST RGB PC Ryzen 7 5700X / RTX 3060 / 16GB / SSD 1TB / NVMe W10,PC gaming,VIST RGB PC,AMD Ryzen 7 5700X,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Vermeer,DDR4,8.0,NVIDIA GeForce RTX 3060,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,919.9,919.9,919.9,29.4,16.8,32.0,16.0,3200.0,1000.0,4.6,29.0,3.4,65.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
Sedatech UCCF432I2I1HF (i9-12900KF / Radeon RX 7900 GRE / 32GB / 2TB),PC gaming,Sedatech,Intel Core i9-12900,disco duro SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,16.0,AMD Radeon RX 7900 GRE,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,1949.9,1949.9,1949.9,29.4,16.8,30.0,32.0,3200.0,2000.0,5.1,29.0,2.4,65.0,16384.0,High_Power (501-850W),Desktop_PC,0,0,0
Captiva Advanced Gaming I68,PC gaming,Captiva Advanced Gaming,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1009.99,3139.43,2074.71,29.4,16.8,18.0,16.0,3200.0,1000.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Actina ENDORFY 5500 / 16GB / 500GB / RX6600 / 600W (KOMAAAGIP1336),PC gaming,Actina ENDORFY,AMD Ryzen 5 5500,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Cezanne,DDR4,6.0,AMD Radeon RX 6600,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,668.68,1016.39,842.53,29.4,16.8,16.0,16.0,3200.0,500.0,4.2,29.0,3.6,65.0,16384.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox IV-123 PC Gamer i7-11700F / RTX 4060,PC gaming,Vibox,Intel Core i7-11700F,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Rocket Lake-S,DDR4,8.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1049.95,1049.95,1049.95,29.4,16.8,16.0,16.0,3200.0,1000.0,4.9,29.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST LOOK i5 12400F RTX 4060 32GB SSD 1TB WIFI W11,PC gaming,VIST LOOK,Intel Core i5-12400F,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,6.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,876.9,876.9,876.9,29.4,16.8,18.0,32.0,3200.0,1000.0,4.4,29.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Sedatech UCCE304I1I1HF (Ryzen 5 7500F / RTX3050 / 32GB / 2TB),PC gaming,Sedatech,AMD Ryzen 5 7500F,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raphael,DDR4,6.0,NVIDIA GeForce RTX 3050,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket AM5,1269.9,1269.9,1269.9,29.4,16.8,32.0,32.0,3200.0,2000.0,5.0,29.0,3.7,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Captiva Highend Gaming I73
I73-890",PC gaming,Captiva Highend Gaming,Intel Core i7-13700KF,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Home,Raptor Lake,DDR5,16.0,NVIDIA GeForce RTX 4070,Ethernet 10/100/1000,Desktop,semitorre,gaming,Socket 1700,2690.99,2690.99,2690.99,43.0,21.0,30.0,32.0,3200.0,2000.0,5.4,44.0,3.4,125.0,12288.0,High_Power (501-850W),Desktop_PC,0,1,0
Actina ENDORFY 13600KF / 16GB / 1TB / RTX4070S / 700W (KOMACNGIP0071),PC gaming,Actina ENDORFY,Intel Core i5-13600KF,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,14.0,NVIDIA GeForce RTX 4070,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,2065.45,2065.45,2065.45,29.4,16.8,24.0,16.0,3200.0,1000.0,5.1,29.0,3.5,125.0,16384.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox V-1 PC Gamer Ryzen 5 4500 / GTX 1650,PC gaming,Vibox,AMD Ryzen 5 4500,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,6.0,NVIDIA GeForce GTX 1650,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,674.95,674.95,674.95,29.4,16.8,8.0,16.0,3200.0,480.0,4.1,29.0,3.6,65.0,4096.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST MSI RGB Ryzen 5 3600 / RTX 3050 / 32GB / SSD 1TB / W11,PC gaming,VIST MSI RGB,AMD Ryzen 5 3600,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Matisse,DDR4,6.0,NVIDIA GeForce RTX 3050,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,726.9,726.9,726.9,29.4,16.8,32.0,32.0,3200.0,1000.0,4.2,29.0,3.6,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Captiva Ultimate Gaming I72
I72-857",PC gaming,Captiva Ultimate Gaming,Intel Core i7-13700KF,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Home,Raptor Lake,DDR5,16.0,AMD Radeon RX 7900 XTX,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,3361.8,3361.8,3361.8,29.4,16.8,30.0,32.0,3200.0,2000.0,5.4,29.0,3.4,125.0,24576.0,High_Power (501-850W),Desktop_PC,0,1,0
Actina Desktop-PC KOMAAAGIP1330 i7-13700KF 32GB RAM 2TB SSD RTX 4090 (S9117419),PC gaming,Actina Desktop-PC,Intel Core i7-13700KF,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,16.0,NVIDIA GeForce RTX 4090,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,7520.41,7520.41,7520.41,29.4,16.8,30.0,32.0,3200.0,2000.0,5.4,29.0,3.4,125.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox VII-46 Gaming PC i7-13700F / RTX 4070,PC gaming,Vibox,Intel Core i7-13700F,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,16.0,NVIDIA GeForce RTX 4070,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1829.95,1829.95,1829.95,29.4,16.8,30.0,32.0,3200.0,1000.0,5.2,29.0,2.1,65.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST RGB Ryzen 5 3600 / RTX 3050 / 16GB / SSD 1TB / W10,PC gaming,VIST RGB Ryzen,AMD Ryzen 5 3600,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 10 Professional,Matisse,DDR4,6.0,NVIDIA GeForce RTX 3050,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,705.9,705.9,705.9,29.4,16.8,32.0,16.0,3200.0,1000.0,4.2,29.0,3.6,65.0,16384.0,High_Power (501-850W),Desktop_PC,0,0,0
Captiva Power Starter R74,PC de oficina,Captiva Power Starter,Unknown,disco duro SSD,AMD,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,semitorre,empresas,Socket 1700,592.99,1419.99,1006.49,46.2,18.5,18.0,16.0,3200.0,1000.0,4.7,42.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Actina VIEW 12400F / 32GB / 1TB / RTX4060TI / 600W,PC gaming,Actina VIEW,Intel Core i5-12400F,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,6.0,NVIDIA GeForce RTX 4060 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1159.11,1159.11,1159.11,29.4,16.8,18.0,32.0,3200.0,1000.0,4.4,29.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox V-70 Gaming PC Ryzen 5 4500 / GTX 1660 Super,PC gaming,Vibox,AMD Ryzen 5 4500,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,6.0,NVIDIA GeForce GTX 1660 Super,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,879.95,879.95,879.95,29.4,16.8,8.0,16.0,3200.0,480.0,4.1,29.0,3.6,65.0,6144.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST RGBi7-11700F / RTX 3050 / 16GB / SSD 512 / W10,PC gaming,VIST,Intel Core i7-11700F,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 10 Professional,Rocket Lake-S,DDR4,8.0,NVIDIA GeForce RTX 3050,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1023.9,1023.9,1023.9,29.4,16.8,16.0,16.0,3200.0,512.0,4.9,29.0,2.5,65.0,1024.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Captiva Advanced Gaming I80
I80-575",PC gaming,Captiva Advanced Gaming,Intel Core i5-14400,disco duro SSD,Intel,Core i5,1.0,ninguno,Raptor Lake,DDR4,8.0,NVIDIA GeForce RTX 4060 Ti,Ethernet 10/100/1000,Desktop,semitorre,gaming,Socket 1700,1393.99,1393.99,1393.99,42.1,18.5,18.0,16.0,3200.0,500.0,4.7,46.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Actina PBA 13400F / 16GB / 1TB / RTX4070 / 650W,PC gaming,Actina PBA,Intel Core i5-13400F,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,10.0,NVIDIA GeForce RTX 4070,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1730.84,1799.84,1765.34,29.4,16.8,20.0,16.0,3200.0,1000.0,4.6,29.0,2.5,65.0,16384.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox V-16 Gaming PC Ryzen 5 4500 / RTX 3060,PC gaming,Vibox,AMD Ryzen 5 4500,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,6.0,NVIDIA GeForce RTX 3060,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,969.95,969.95,969.95,29.4,16.8,8.0,16.0,3200.0,1000.0,4.1,29.0,3.6,65.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST Breeze ARGB PC Ryzen 7 3700X RTX 3050 32GB 2TB WiFi W11 DLSS 3,PC gaming,VIST Breeze ARGB,AMD Ryzen 7 3700X,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,NVIDIA GeForce RTX 3050,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,849.9,849.9,849.9,29.4,16.8,18.0,32.0,3200.0,2000.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Actina Endorfy 7600 / 32GB / 1TB / RX7900GRE / 750W,PC gaming,Actina Endorfy,AMD Ryzen 5 7600,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raphael,DDR4,6.0,AMD Radeon RX 7900 GRE,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM5,2068.39,2068.39,2068.39,29.4,16.8,32.0,32.0,3200.0,1000.0,5.1,29.0,3.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox VII-59 Gaming PC i7-13700F / RTX 4070,PC gaming,Vibox,Intel Core i7-13700F,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,16.0,NVIDIA GeForce RTX 4070,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1849.95,1849.95,1849.95,29.4,16.8,30.0,32.0,3200.0,1000.0,5.2,29.0,2.1,65.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST Nexus Pro PC i9 14900KF RTX 4070Ti Super 32GB SSD 1TB WiFi6 BT W11 USB C DLSS 3,PC gaming,VIST Nexus Pro,Intel Core i9-14900KF,disco duro SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Raptor Lake Refresh,DDR4,24.0,NVIDIA GeForce RTX 4070 Ti Super,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,2106.9,2106.9,2106.9,29.4,16.8,36.0,32.0,3200.0,1000.0,6.0,29.0,3.2,125.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Actina Desktop-PC KOMAAAGIP1452 Ryzen 5 5600X 32GB RAM 1TB SSD RTX 4070 (S9159077),PC gaming,Actina Desktop-PC,AMD Ryzen 5 5600X,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Vermeer,DDR4,6.0,NVIDIA GeForce RTX 4070,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,2216.84,2216.84,2216.84,29.4,16.8,32.0,32.0,3200.0,1000.0,4.6,29.0,3.7,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox II-49 Gaming PC i5-10400 / RTX 3060,PC gaming,Vibox,Intel Core i5-10400,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Comet Lake-S,DDR4,6.0,NVIDIA GeForce RTX 3060,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,964.95,964.95,964.95,29.4,16.8,12.0,16.0,3200.0,1000.0,4.3,29.0,2.9,65.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST RGB Gamer i5-14400F / 32GB / RTX 4060Ti / SSD 1TB / Win11,PC gaming,VIST RGB Gamer,Intel Core i5-14400F,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake Refresh,DDR4,10.0,NVIDIA GeForce RTX 4060 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1168.9,1168.9,1168.9,29.4,16.8,20.0,32.0,3200.0,1000.0,4.7,29.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Actina ENDORFY 7800X3D / 32GB / 1TB / RTX4080 / 1000W,PC gaming,Actina ENDORFY,AMD Ryzen 7 7800X3D,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Raphael,DDR4,8.0,NVIDIA GeForce RTX 4080,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM5,2375.46,2375.46,2375.46,29.4,16.8,96.0,32.0,3200.0,1000.0,5.0,29.0,4.2,120.0,8192.0,Very_High_Power (>850W),Desktop_PC,0,0,0
Vibox V-47 Gaming PC Ryzen 5 4500 / RTX 3050,PC gaming,Vibox,AMD Ryzen 5 4500,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,6.0,NVIDIA GeForce RTX 3050,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,694.95,694.95,694.95,29.4,16.8,8.0,16.0,3200.0,1000.0,4.1,29.0,3.6,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST Nexus Pro PC i9 14900KF RTX 4070Ti Super 64GB SSD 1TB WiFi6 BT W11 USB C DLSS 3,PC gaming,VIST Nexus Pro,Intel Core i9-14900KF,disco duro SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Raptor Lake Refresh,DDR4,24.0,NVIDIA GeForce RTX 4070 Ti Super,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,2191.9,2191.9,2191.9,29.4,16.8,36.0,64.0,3200.0,1000.0,6.0,29.0,3.2,125.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Actina PC (5901443338314),PC gaming,Actina PC,Intel Core i3-12100F,disco duro SSD,Intel,Core i3,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,4.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,semitorre,gaming,Socket 1700,1275.88,1275.88,1275.88,29.4,16.8,12.0,16.0,3200.0,1000.0,4.3,29.0,3.3,60.0,16384.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox VI-40 Gaming PC Ryzen 3 3200G / Radeon RX Vega 8,PC gaming,Vibox,AMD Ryzen 3 3200G,disco duro SSD,AMD,Ryzen 3,1.0,Microsoft Windows 11 Professional,Picasso,DDR4,4.0,AMD Radeon RX Vega 8,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,604.95,604.95,604.95,29.4,16.8,4.0,8.0,3200.0,480.0,4.0,29.0,3.6,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST PBM MSI Ryzen 7 5700X / RTX 4070 / 32GB / SSD 1TB / W11,PC gaming,VIST PBM MSI,AMD Ryzen 7 5700X,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Vermeer,DDR4,8.0,NVIDIA GeForce RTX 4070,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,1322.9,1322.9,1322.9,29.4,16.8,32.0,32.0,3200.0,1000.0,4.6,29.0,3.4,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Actina ICUE 14600KF / 32GB / 2TB / RX7900XTX / 850W,PC gaming,Actina ICUE,Intel Core i5-14600KF,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake Refresh,DDR4,14.0,AMD Radeon RX 7900 XTX,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,2918.76,2918.76,2918.76,29.4,16.8,24.0,32.0,3200.0,2000.0,5.3,29.0,3.5,125.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox V-135 PC Gamer Ryzen 5 4500 / RTX 4060,PC gaming,Vibox,AMD Ryzen 5 4500,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,6.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,909.95,909.95,909.95,29.4,16.8,8.0,16.0,3200.0,1000.0,4.1,29.0,3.6,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST RGB Ryzen 5 3600 RTX 4060Ti 16GB SSD 1TB nVme W11,PC gaming,VIST RGB Ryzen,AMD Ryzen 5 3600,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Matisse,DDR4,6.0,NVIDIA GeForce RTX 4060 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,1007.9,1007.9,1007.9,29.4,16.8,32.0,16.0,3200.0,1000.0,4.2,29.0,3.6,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Actina PC (5901443337430),PC gaming,Actina PC,AMD Ryzen 7 7700,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Raphael,DDR5,8.0,NVIDIA GeForce RTX 4070 Ti,Ethernet 10/100/1000,Desktop,semitorre,gaming,Socket AM5,4610.69,4610.69,4610.69,29.4,16.8,32.0,32.0,3200.0,1000.0,5.3,29.0,3.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox V-46 Gaming PC Ryzen 5 4500 / RTX 3050,PC gaming,Vibox,AMD Ryzen 5 4500,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,6.0,NVIDIA GeForce RTX 3050,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,769.95,769.95,769.95,29.4,16.8,8.0,16.0,3200.0,480.0,4.1,29.0,3.6,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
