titulo,ofertas,tipo_de_producto,serie,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_tecnologia,pantalla_luminosidad_cd_m2,procesador,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_numero_de_teclas,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_autonomia_de_la_bateria,alimentacion_vatios_hora,alimentacion,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,medidas_y_peso_profundidad,medidas_y_peso_altura,medidas_y_peso_ancho,medidas_y_peso_peso,otras_caracteristicas_equipamiento,otras_caracteristicas_seguridad_integrada,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,pantalla_resolucion,pantalla_densidad_de_pixeles,pantalla_tasa_de_actualizacion_de_imagen,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,grafica_memoria,sistema_operativo_sistema_operativo,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nombre_clave,procesador_nivel_de_cache,procesador_cache,ram_memoria,ram_tipo,ram_frecuencia_de_la_memoria,disco_duro_capacidad_de_memoria_ssd,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,otras_caracteristicas_portatil_configurable,procesador_numero_nucleos,procesador_frecuencia_de_reloj,procesador_frecuencia_turbo_max,procesador_potencia_max_de_diseno_termico_tdp,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,ram_extension_de_memoria_maxima,grafica_tarjeta,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,alimentacion_voltaje_de_salida,alimentacion_intensidad_de_corriente,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,alimentacion_capacidad_de_la_bateria,otras_caracteristicas_certificacion,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,procesador_chipset,otras_caracteristicas_software_incluido,pantalla_displayglas,grafica_gpu,pantalla_propiedades,ia_funcion,ia_procesador,sonido_chip,disco_duro_capacidad_del_disco_duro,otras_caracteristicas_localizacion,conectividad_conexion,otras_caracteristicas_expansion_de_hardware,otras_caracteristicas_articulo_incluido,otras_caracteristicas_caracteristicas_de_la_carcasa,disco_duro_velocidad_de_rotacion_del_disco_duro,comunicaciones_caracteristicas_del_bluetooth,almacenamiento_velocidades_de_lectura,almacenamiento_velocidades_de_escritura,tipo,precio_min,precio_max,precio_mean,grafica_resolucion_externa_std,camara_resolucion_pulgadas,teclado_numero_de_teclas_horas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_resolucion_pulgadas,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,Categoria_General
"HP 15s (2021)
15s-fq4454ng",1.0,Portátil multimedia,,15.6,39.624,Full HD,250.0,Intel Core i5-1155G7,SSD,HDMI,,"wifi, Bluetooth",Bluetooth 4.2,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,"7,25 h",41.0,45 W,,,con tapa,"24,2 cm",18 mm,"35,9 cm","1,69 kg","lector de tarjetas, webcam, altavoces estéreo, USB-C",,,2022.0,,1.920 x 1.080 píxeles,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Home,,altavoces estéreo,16:9,Tiger Lake UP3,L3,8 MB,8 GB RAM,DDR4,3.200 MHz,512 GB,,3.0,plateado,,4.0,"2,5 GHz","4,5 GHz",28 W,,64.0,,,Intel Iris Xe Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1175.71,1175.71,1175.71,,1280x720,,7.25,45.0,24.2,18.0,35.9,1.69,1920x1080,,,8.0,8.0,3200.0,512.0,,2.5,4.5,28.0,,,,,,,Laptop
"Lenovo ThinkPad P14s G4
21HF0019GE",2.0,Portátil profesional,Lenovo ThinkPad,14.0,35.56,2.8K,400.0,Intel Core i7-1360P,SSD,,,"wifi, Bluetooth",Bluetooth 5.1,5.0 Mpx,,,,,,2.0,polímero de litio,,52.5,100 W,,,con tapa,"22,7 cm",18 mm,"31,8 cm","1,34 kg","webcam, altavoces estéreo, USB-C",,,2023.0,IEEE 802.11ax,2.880 x 1.800 píxeles,,,Intel,Intel Core i7,1.0,,4.096 MB / 4 GB,Windows 11 Professional,,altavoces estéreo,16:10,Raptor Lake-P,L3,18 MB,32 GB RAM,,,1.000 GB,,,negro,,12.0,"2,2 GHz",5 GHz,28 W,,64.0,,,NVIDIA RTX A500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,2350.0,2372.44,2361.22,,,,,100.0,22.7,18.0,31.8,1.34,2880x1800,,,18.0,32.0,,1000.0,4.0,2.2,5.0,28.0,,,,,,,Laptop
"HP ProBook 250 G9
6F204EA",1.0,Portátil multimedia,HP ProBook,14.0,35.56,Full HD,250.0,Intel Core i5-1235U,SSD,HDMI 2.1,,"Bluetooth, wifi",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,,42.0,45 W,,,con tapa,"21,4 cm",20 mm,"32,2 cm","1,38 kg","USB-C, altavoces estéreo, webcam",,,,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Home,,altavoces estéreo,16:9,Alder Lake-P,L3,12 MB,8 GB RAM,DDR4,3.200 MHz,512 GB,,3.0,negro,,10.0,"0,9 GHz","4,4 GHz",15 W,,64.0,,,Intel Iris Xe Graphics,ninguna,ninguno,,,,,,,,,,1x SO-DIMM,,,,,,,,,,,,Italia,,,,,,,,,Laptop,615.0,615.0,615.0,,1280x720,,,45.0,21.4,20.0,32.2,1.38,1920x1080,,,12.0,8.0,3200.0,512.0,,0.9,4.4,15.0,,,,,,,Laptop
"Lenovo V15 G3
82TT000FIX",1.0,Portátil multimedia,,15.6,39.62,Full HD,250.0,Intel Core i5-1235U,SSD,HDMI,4 en 1,"LAN, wifi, Bluetooth",Bluetooth 5.0,integrada,,,,,teclado numérico,,ión-litio,,35.0,65 W,,,con tapa,"23,6 cm",20 mm,"35,9 cm","1,7 kg","lector de tarjetas, webcam, USB-C",,,2022.0,IEEE 802.11ac,1.920 x 1.080 píxeles,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Home,,,16:9,Alder Lake-P,L3,12 MB,8 GB RAM,DDR4,,512 GB,,2.0,negro,,10.0,"0,9 GHz","4,4 GHz",15 W,,64.0,,,Intel Iris Xe Graphics,,,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,,Italia,,,,,,,,,Laptop,572.96,572.96,572.96,,,,,65.0,23.6,20.0,35.9,1.7,1920x1080,,,12.0,8.0,,512.0,,0.9,4.4,15.0,,,,,,,Laptop
HP EliteBook 835 G11,5.0,Portátil multimedia,HP EliteBook,13.3,33.782,WUXGA,400.0,,SSD,,,"wifi, Bluetooth",Bluetooth 5.3,5.0 Mpx,,,,,,2.0,,,56.0,65 W,,,con tapa,"21,5 cm",16 mm,30 cm,"1,32 kg","USB-C, altavoces estéreo, webcam",,,2024.0,IEEE 802.11ax,,,,AMD,,1.0,AMD,memoria compartida,Windows 11 Professional,,altavoces estéreo,16:10,Hawk Point-U,L3,,,,,,,3.0,,,,,,28 W,,64.0,,,,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1225.92,2779.23,2002.58,,,,,65.0,21.5,16.0,30.0,1.32,,,,,,,,,,,28.0,,,,,,,Laptop
"Lenovo ThinkPad L14 G3
21C10069GE",2.0,Portátil profesional,Lenovo ThinkPad,14.0,35.56,Full HD,250.0,Intel Core i5-1235U,SSD,HDMI,integrado,"LAN, wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,,,polímero de litio,12 h,57.0,,,,con tapa,"21,7 cm",20 mm,"32,5 cm","1,39 kg","lector de tarjetas, webcam, altavoces estéreo, USB-C",,,2022.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 10 Professional,MicroSD,Dolby Audio Premium,16:9,Alder Lake-P,L3,12 MB,16 GB RAM,DDR4,,512 GB,,,negro,,10.0,"0,9 GHz","4,4 GHz",15 W,,64.0,,,Intel UHD Graphics,"LTE, 4G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1274.0,1274.0,1274.0,,1280x720,,12.0,,21.7,20.0,32.5,1.39,1920x1080,,,12.0,16.0,,512.0,4.0,0.9,4.4,15.0,,,,,,,Laptop
"HP 250 G9
85D67EA",1.0,Portátil multimedia,HP 250,15.6,39.62,,250.0,,SSD,HDMI,,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,,41.0,45 W,,,con tapa,"24,2 cm",20 mm,"35,8 cm","1,74 kg","webcam, USB-C",,,2022.0,IEEE 802.11ax,,,,,,,,,Windows 11 Professional,,altavoces estéreo,16:9,,,,,,,,,3.0,,,,,,,,64.0,,,,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,275.98,275.98,275.98,,1280x720,,,45.0,24.2,20.0,35.8,1.74,,,,,,,,,,,,,,,,,,Laptop
"Lenovo ThinkBook 16 G6
21KH001XIX",2.0,Portátil profesional,Lenovo ThinkBook,16.0,40.64,,300.0,Intel Core i5-1335U,SSD,,2 en 1,"LAN, wifi, Bluetooth",Bluetooth 5.1,2.1 Mpx,compatible con HD,1920 x 1080 píxeles,teclado FineTip,,teclado numérico,2.0,polímero de litio,,45.0,65 W,,,con tapa,"25,3 cm",17 mm,"35,6 cm","1,7 kg","lector de tarjetas, webcam, altavoces estéreo, USB-C",,,2023.0,,1.920 x 1.200 píxeles,,,Intel,Intel Core i5,,,,Windows 11 Professional,,altavoces estéreo,16:10,Raptor Lake-U,L3,12 MB,,,,,,,gris,,10.0,"0,9 GHz","4,6 GHz",15 W,,64.0,,,,,,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,Realtek ALC3287,,,,,,,,,,,Laptop,801.69,931.05,866.37,,1920x1080,,,65.0,25.3,17.0,35.6,1.7,1920x1200,,,12.0,,,,4.0,0.9,4.6,15.0,,,,,,,Laptop
"HP 250 G9
6S7P9EA",2.0,Portátil multimedia,HP 250,15.6,39.62,Full HD,250.0,Intel Core i5-1235U,,HDMI,,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,,41.0,45 W,,,con tapa,"24,2 cm",20 mm,"35,8 cm","1,74 kg","webcam, USB-C",,,2022.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Professional,,altavoces estéreo,16:9,Alder Lake-P,L3,12 MB,16 GB RAM,DDR4,3.200 MHz,512 GB,,3.0,negro,,10.0,"0,9 GHz","4,4 GHz",15 W,,64.0,,32 GB,Intel Iris Xe Graphics,,ninguno,,,,panorámica,,,,,,0x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,,,,,,,,,Laptop,786.46,829.0,807.73,,1280x720,,,45.0,24.2,20.0,35.8,1.74,1920x1080,,,12.0,16.0,3200.0,512.0,,0.9,4.4,15.0,32.0,,,,,,Laptop
"Lenovo ThinkPad X12
20UW0003SP",1.0,Portátil convertible,Lenovo ThinkPad,12.3,31.24,WUXGA+,400.0,Intel Core i5-1130G7,SSD,Thunderbolt 4,,"Bluetooth, wifi",,"5.0 Mpx, 0.8 Mpx",,,,,,,polímero de litio,10 h,42.0,45 W,,,convertible,"20,4 cm",15 mm,"28,3 cm","1,27 kg","USB-C, webcam",,,2021.0,IEEE 802.11ax,1.920 x 1.280 píxeles,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 10 Professional,,,3:2,Tiger Lake UP4,L3,8 MB,16 GB RAM,LPDDR4X,4.266 MHz,512 GB,teclado iluminado,,negro,,4.0,"1,8 GHz",4 GHz,9 W,,64.0,,,Intel Iris Xe Graphics,,ninguno,,,,,,,,,,,,,,,,,"convertible, capacitiva, multitáctil de 10 puntos",,,,,,,,,,,,,,Laptop,1946.0,1946.0,1946.0,,,,10.0,45.0,20.4,15.0,28.3,1.27,1920x1280,,,8.0,16.0,4266.0,512.0,,1.8,4.0,9.0,,,,,,,Laptop
"HP 15s (2023)
15s-fq5099ns",1.0,Portátil multimedia,,15.6,39.624,Full HD,250.0,Intel Core i7-1255U,SSD,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,,,,,2.0,ión-litio,"10,25 h",41.0,,,,con tapa,"24,2 cm",18 mm,"35,6 cm","1,69 kg","lector de tarjetas, webcam, altavoces estéreo, USB-C",,,2023.0,,1.920 x 1.080 píxeles,,,Intel,Intel Core i7,1.0,Intel,memoria compartida,Free DOS,,altavoces estéreo,16:9,Alder Lake-P,L3,12 MB,16 GB RAM,DDR4,3.200 MHz,512 GB,,3.0,plateado,,10.0,"1,2 GHz","4,7 GHz",15 W,,,,,Intel Iris Xe Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,,,,,,,,,Laptop,499.0,499.0,499.0,,,,10.25,,24.2,18.0,35.6,1.69,1920x1080,,,12.0,16.0,3200.0,512.0,,1.2,4.7,15.0,,,,,,,Laptop
"Lenovo ThinkPad E14 G4
21E30066SP",1.0,Portátil profesional,Lenovo ThinkPad,14.0,35.56,Full HD,,Intel Core i7-1255U,SSD,HDMI,,"LAN, wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,,,,,polímero de litio,,57.0,,,,con tapa,"23,2 cm",18 mm,"32,5 cm","1,64 kg","webcam, USB-C",,,2022.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,Intel Core i7,1.0,Intel,memoria compartida,Windows 11 Professional,,,16:9,Alder Lake-P,L3,12 MB,16 GB RAM,DDR4,3.200 MHz,512 GB,,3.0,negro,,10.0,"1,2 GHz","4,7 GHz",15 W,,64.0,,40 GB,Intel Iris Xe Graphics,,ninguno,,,,,Gigabit-LAN,,,,,1x SO-DIMM,,1 x 16 GB,,,,,,,,,,,,,,,,,,,Laptop,1244.36,1244.36,1244.36,,1920x1080,,,,23.2,18.0,32.5,1.64,1920x1080,,,12.0,16.0,3200.0,512.0,,1.2,4.7,15.0,40.0,,,,,,Laptop
"Lenovo V15 G3
82TT004QGE",1.0,Portátil multimedia,,15.6,39.62,Full HD,250.0,Intel Core i3-1215U,SSD,HDMI,4 en 1,"LAN, wifi, Bluetooth",Bluetooth 5.0,integrada,,,,,teclado numérico,,ión-litio,,35.0,65 W,,,con tapa,"23,6 cm",20 mm,"35,9 cm","1,7 kg","lector de tarjetas, webcam, USB-C",,,2022.0,IEEE 802.11ac,1.920 x 1.080 píxeles,,,Intel,Intel Core i3,1.0,Intel,memoria compartida,Windows 11 Home,,,16:9,Alder Lake-P,L3,10 MB,8 GB RAM,,,512 GB,,2.0,negro,,6.0,"0,9 GHz","4,4 GHz",15 W,,64.0,,,Intel Iris Xe Graphics,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,462.31,462.31,462.31,,,,,65.0,23.6,20.0,35.9,1.7,1920x1080,,,10.0,8.0,,512.0,,0.9,4.4,15.0,,,,,,,Laptop
"Lenovo ThinkPad P16s G2
21K90009GE",1.0,Portátil profesional,Lenovo ThinkPad,16.0,40.64,WUXGA,400.0,AMD Ryzen 7 Pro 7840U,SSD,,4 en 1,"wifi, Bluetooth",Bluetooth 5.1,5.0 Mpx,,,,,,2.0,polímero de litio,,86.0,135 W,,,con tapa,"25,6 cm",21 mm,"36,2 cm","1,7 kg","lector de tarjetas, webcam, altavoces estéreo, USB-C",,,2023.0,IEEE 802.11ax,1.920 x 1.200 píxeles,,60 Hz,AMD,AMD Ryzen 7,1.0,AMD,memoria compartida,Windows 11 Professional,,altavoces estéreo,16:10,,,,32 GB RAM,LPDDR5X,7.500 MHz,1.000 GB,,,negro,,,,,,,64.0,,32 GB,AMD Radeon 780M,,ninguno,,,teclado numérico,,,,,,,,,2 x 16 GB,,,,,,,,,,Alemania y Austria,,,,,,,,,Laptop,1889.47,1889.47,1889.47,,,,,135.0,25.6,21.0,36.2,1.7,1920x1200,,60.0,,32.0,7500.0,1000.0,4.0,,,,32.0,,,,,,Laptop
"HP Omen 16 2023
16-xf0376ng",1.0,Portátil gaming,HP Omen,16.1,40.894,Full HD,250.0,AMD Ryzen 7 7840HS,SSD,HDMI 2.1,,"LAN, wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,,"8,25 h",83.0,230 W,,,con tapa,"25,9 cm",24 mm,"36,9 cm","2,36 kg","lector de tarjetas, webcam, altavoces estéreo, USB-C",,,2023.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,AMD,AMD Ryzen 7,1.0,NVIDIA,8.192 MB / 8 GB,Windows 11 Home,,,16:9,Phoenix,L3,32 MB,16 GB RAM,DDR5,,512 GB,,6.0,negro,,8.0,"3,8 GHz","5,1 GHz",45 W,GDDR6,64.0,,,NVIDIA GeForce RTX 4070,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,2363.31,2363.31,2363.31,,1920x1080,,8.25,230.0,25.9,24.0,36.9,2.36,1920x1080,,,32.0,16.0,,512.0,,3.8,5.1,45.0,,,,,,,Laptop
"Microsoft Surface Laptop 5 15
i7 8 GB/256 GB plateado RBZ-00012",2.0,Portátil profesional,Microsoft Surface,15.0,38.1,,400.0,Intel Core i7-1265U,SSD,Thunderbolt 4,,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,,17 h,,,,aluminio,con tapa,"24,4 cm",15 mm,34 cm,"1,56 kg","USB-C, altavoces estéreo, webcam",,,2022.0,IEEE 802.11ax,2.496 x 1.664 píxeles,201 ppp,,Intel,Intel Core i7,,Intel,memoria compartida,Windows 11 Professional,,,3:2,Alder Lake-P,L3,12 MB,8 GB RAM,LPDDR5X,,256 GB,teclado iluminado,,plateado,,10.0,"1,3 GHz","4,8 GHz",15 W,,64.0,,8 GB,Intel Iris Xe Graphics,ninguna,ninguno,,,,,,,,,,,,,,,,,multitáctil de 10 puntos,,,,,,,,,,,,,,Laptop,1119.09,1626.55,1372.82,,1280x720,,17.0,,24.4,15.0,34.0,1.56,2496x1664,201.0,,12.0,8.0,,256.0,,1.3,4.8,15.0,8.0,,,,,,Laptop
"ASUS TUF Gaming F15 (TUF506)
TUF506LU-HN201T",2.0,Portátil gaming,ASUS TUF Gaming,15.6,39.62,Full HD,250.0,Intel Core i7-10870H,PCIe SSD,,,"wifi, Bluetooth, LAN",Bluetooth 5.2,0.7 Mpx,,,teclado tipo chicle,,,,ión-litio,,48.0,180 W,,,,"25,6 cm",25 mm,"35,9 cm","2,3 kg",webcam,"contraseña de supervisor, bloqueo Kensington",,,,1.920 x 1.080 píxeles,,144 Hz,Intel,Intel Core i7,1.0,NVIDIA,6.144 MB / 6 GB,Windows 10 Home,,,16:9,,,16 MB,8 GB RAM,DDR4,2.933 MHz,512 GB,teclado iluminado,3.0,negro,,8.0,"2,2 GHz",5 GHz,,GDDR6,64.0,,32 GB,NVIDIA GeForce GTX 1660 Ti,,ninguno,20 V,9 A,,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,993.78,1221.14,1107.46,,,,,180.0,25.6,25.0,35.9,2.3,1920x1080,,144.0,16.0,8.0,2933.0,512.0,,2.2,5.0,,32.0,20.0,9.0,,,,Laptop
"GigaByte G7
GD-51PT123SD",3.0,Portátil gaming,Gigabyte G7,17.3,43.942,Full HD,,Intel Core i5-11400H,SSD,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.2,integrada,compatible con HD,,teclado gamer,,,2.0,ión-litio,,48.96,150 W,,,,"26,2 cm",32 mm,"39,5 cm","2,38 kg","micrófono integrado, USB-C, altavoces estéreo, lector de tarjetas, webcam",Trusted Platform Module (TPM 1.2),,,,1.920 x 1.080 píxeles,,,Intel,Intel Core i5,1.0,NVIDIA,4.096 MB,Free DOS,SD,,16:9,Tiger Lake H45,L3,12 MB,16 GB RAM,DDR4,3.200 MHz,512 GB,teclado iluminado,,gris,,6.0,"2,7 GHz","4,5 GHz",45 W,GDDR6,,,64 GB,NVIDIA GeForce RTX 3050,,ninguno,,,teclado numérico,,,,,,,,,,Intel HM570 Express,,,,,,,,,,,,,,,,,,Laptop,912.64,1106.99,1009.82,,,,,150.0,26.2,32.0,39.5,2.38,1920x1080,,,12.0,16.0,3200.0,512.0,4.0,2.7,4.5,45.0,64.0,,,,,,Laptop
"Lenovo V15 G4
83A100B9GE",1.0,Portátil multimedia,,15.6,39.624,Full HD,250.0,Intel Core i5-13420H,SSD,HDMI,,"LAN, wifi, Bluetooth",Bluetooth 5.1,0.9 Mpx,,,,,teclado numérico,,polímero de litio,"8,4 h",38.0,65 W,,,con tapa,"23,6 cm",20 mm,"35,9 cm","1,65 kg","lector de tarjetas, webcam, USB-C",,,2023.0,,1.920 x 1.080 píxeles,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Professional,,,16:9,Raptor Lake-H,L3,12 MB,16 GB RAM,DDR4,,512 GB,,2.0,negro,,8.0,"1,5 GHz","4,6 GHz",45 W,,64.0,,,Intel UHD Graphics,,,20 V,"3,25 A",,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,703.07,703.07,703.07,,,,8.4,65.0,23.6,20.0,35.9,1.65,1920x1080,,,12.0,16.0,,512.0,,1.5,4.6,45.0,,20.0,3.25,,,,Laptop
"Dell Inspiron 15 3505
PXHPW",1.0,Portátil multimedia,Dell Inspiron,15.6,39.62,Full HD,,AMD Ryzen 5 3450U,SSD,HDMI,integrado,"wifi, Bluetooth",,integrada,,,,,,,,,42.0,45 W,,,con tapa,"24,9 cm",20 mm,"36,4 cm","1,83 kg","lector de tarjetas, webcam",,,2021.0,IEEE 802.11ac,1.920 x 1.080 píxeles,,,AMD,AMD Ryzen 5,1.0,AMD,memoria compartida,Windows 10 Home,SD,,16:9,,L3,4 MB,8 GB RAM,DDR4,,256 GB,,3.0,,,4.0,"2,1 GHz","3,5 GHz",15 W,,64.0,,,AMD Radeon RX Vega 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,651.22,651.22,651.22,,,,,45.0,24.9,20.0,36.4,1.83,1920x1080,,,4.0,8.0,,256.0,,2.1,3.5,15.0,,,,,,,Laptop
"MSI Stealth 16 Studio A13
A13Vf-043Xes",1.0,Portátil gaming,MSI Stealth,16.0,40.64,WQXGA,,Intel Core i7-13700H,,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,,1920 x 1080 píxeles,,,,2.0,ión-litio,,99.0,240 W,,,con tapa,26 cm,20 mm,"35,6 cm",2 kg,"USB-C, altavoces estéreo, webcam, lector de tarjetas",,,2023.0,IEEE 802.11ax,2.560 x 1.600 píxeles,,165 Hz,Intel,Intel Core i7,1.0,NVIDIA,8.192 MB,Free DOS,MicroSD,altavoces estéreo,16:10,Raptor Lake-H,L3,24 MB,16 GB RAM,LPDDR5,4.800 MHz,1.000 GB,,4.0,plateado,,14.0,"1,8 GHz",5 GHz,45 W,GDDR6,,,32 GB,NVIDIA GeForce RTX 4060,,,,,,,"2,5-Gbit/s-Ethernet",,,,,2x SO-DIMM,,,,,,,,,,,,,,,,,,,,,Laptop,1899.0,1899.0,1899.0,,1920x1080,,,240.0,26.0,20.0,35.6,2.0,2560x1600,,165.0,24.0,16.0,4800.0,1000.0,4.0,1.8,5.0,45.0,32.0,,,,,,Laptop
"Medion Akoya S15449
S15449-MD61991",2.0,Portátil multimedia,Medion Akoya,15.6,39.62,Full HD,,Intel Core i5-1135G7,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,polímero de litio,"8,5 h",42.0,,,,con tapa,"24,4 cm",18 mm,36 cm,"1,78 kg","webcam, altavoces estéreo",,,2021.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,sin sistema operativo,,altavoces estéreo,16:9,Tiger Lake UP3,L3,8 MB,8 GB RAM,DDR4,,512 GB,,3.0,gris,,4.0,"2,4 GHz","4,2 GHz",15 W,,,,,Intel Iris Xe Graphics,ninguna,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,436.19,444.02,440.11,,1280x720,,8.5,,24.4,18.0,36.0,1.78,1920x1080,,,8.0,8.0,,512.0,,2.4,4.2,15.0,,,,,,,Laptop
"Samsung Galaxy Book 3 Pro 14
np944xfg-kc1it",1.0,Portátil multimedia,Samsung Galaxy Book,14.0,35.56,WQXGA,400.0,Intel Core i7-1360P,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,,,63.0,,,,con tapa,"22,4 cm",11 mm,"31,2 cm","1,17 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2023.0,IEEE 802.11ax,,,,Intel,Intel Core i7,,,,Windows 11 Professional,MicroSD,,16:10,Raptor Lake-P,L3,18 MB,,LPDDR5,,,,,negro,,12.0,"2,2 GHz",5 GHz,28 W,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1279.94,1279.94,1279.94,,1920x1080,,,,22.4,11.0,31.2,1.17,,,,18.0,,,,8.0,2.2,5.0,28.0,,,,,,,Laptop
