ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,conectividad_conexion,grafica_caracteristica_tarjeta,tipo,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,procesador_placa_base,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
1.0,Barebone,sin disco duro,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ac,Intel,0.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,Desktop,,negro,bricolaje,4.0,,,,,,,,306.18,306.18,306.18,,,,4.0,,,,2.1,4.1,,,,15.0,1,20.0,715.0,,,123.0,73.0,3731.0,190.0,,398.0,51.0,,24.0
2.0,Barebone,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,Intel,,DDR4,,,,LAN 10/100/1000/2500,,,Desktop,barebone,negro,empresas,16.0,2.0,,,,,,,668.77,730.47,699.62,4.785,11.0,1.0,,,3200.0,,,,64.0,11.0,,,1,29.0,916.0,4.0,2259.0,529.0,,,833.0,,398.0,297.0,,
2.0,Barebone,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.3,Wi-Fi 6E,Intel,1.0,DDR4,GDDR6,64.0,ninguno,,,,Desktop,barebone,negro,"profesional, empresas",24.0,2.0,1.0,1.0,canal 7.1,,,,1504.82,2018.44,1761.63,12.7,6.6,7.5,30.0,16.0,3200.0,512.0,,5.2,64.0,36.0,2.1,65.0,1,105.0,89.0,17.0,2259.0,866.0,67.0,124.0,833.0,49.0,1182.0,337.0,,749.0
1.0,Barebone,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,Intel,,DDR4,,,,LAN 10/100/1000/2500,,,Desktop,barebone,negro,empresas,,2.0,,,,,,,466.26,466.26,466.26,4.785,11.0,1.0,,,3200.0,,,,64.0,11.0,,,1,10.0,916.0,4.0,2259.0,,931.0,,190.0,,398.0,,,
3.0,Barebone,sin disco duro,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ac,Intel,0.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,Desktop,nettop,negro,bricolaje,4.0,,,,,,,,221.13,249.61,235.37,11.5,11.5,0.7,4.0,,,,1.1,3.3,16.0,4.0,,6.0,1,2.0,715.0,,44.0,74.0,78.0,3731.0,,,398.0,397.0,,26.0
2.0,Barebone,,HDMI,Ethernet,,,,,DDR4,,,,Ethernet 10/100/1000,,,Desktop,cubo,negro,,,2.0,,,,,,,232.95,280.45,256.7,33.2,21.5,3.4,,,,,,,64.0,19.0,,,1,,,33.0,,,13.0,,,,398.0,,,135.0
4.0,Barebone,disco duro SSD,DisplayPort,"Ethernet, wifi",Bluetooth 5.2,IEEE 802.11ac,,1.0,DDR5,,,,LAN 10/100/1000/2500,,,Desktop,barebone,,bricolaje,,,,,,,,,663.9,746.82,705.36,13.0,12.0,,,8.0,,256.0,,,,5.0,,,1,24.0,916.0,,2259.0,,931.0,3731.0,,,398.0,,,
1.0,Barebone,disco duro M.2 SSD,,"Ethernet, Bluetooth, wifi",,,Intel,0.0,DDR5,,,,,,,Desktop,barebone,blanco,bricolaje,24.0,,1.0,,,,,,1942.38,1942.38,1942.38,20.3,21.0,,30.0,,,,2.1,5.2,,5.0,2.1,219.0,1,105.0,358.0,22.0,,866.0,931.0,412.0,833.0,,398.0,337.0,34.0,749.0
2.0,Barebone,,,Ethernet,,,Intel,,DDR4,,,,,,,Desktop,semitorre,negro,bricolaje,,2.0,,,,mate,,Intel H310M-STX,196.78,300.0,248.39,,,,,,2666.0,,,,32.0,,,,1,,,5.0,,,28.0,,,,,,,40.0
7.0,Barebone,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,,,,,,,LAN 10/100/1000/2500,,,Desktop,barebone,,empresas,,,,,,,,,397.86,859.27,628.57,4.785,11.0,,,,,,,,,11.0,,,1,,,4.0,,,,,,,,,,
3.0,Barebone,,HDMI,"wifi, Bluetooth, Ethernet",Bluetooth 5.0,,Intel,,DDR4,,,,,,,Desktop,barebone,,,,,,,,,,,1056.24,1104.12,1080.18,,,,,,,,2.9,,,,,65.0,1,,,22.0,,123.0,931.0,,,,,,,135.0
2.0,Barebone,disco duro M.2 SSD,,"Ethernet, Bluetooth, wifi",Bluetooth 5.2,IEEE 802.11ax,Intel,,DDR5,GDDR6,,ninguno,LAN 10/100/1000/2500,,,Desktop,barebone,negro,bricolaje,,,1.0,,,,,,2278.86,2643.48,2461.17,20.3,21.0,,,16.0,,1000.0,,5.0,64.0,5.0,2.1,,1,46.0,358.0,22.0,86.0,,931.0,679.0,833.0,,,337.0,34.0,
3.0,Barebone,,HDMI,"Bluetooth, wifi, Ethernet",Bluetooth 5.3,Wi-Fi 6E,,1.0,DDR4,,64.0,,,,,Desktop,barebone,negro,"empresas, profesional",,,1.0,1.0,,,,,1198.15,2018.44,1608.3,12.7,6.6,,,16.0,,,,,,36.0,,,1,,,17.0,2259.0,,931.0,,,49.0,,,,
3.0,Barebone,disco duro SSD,,"wifi, Ethernet",,,Intel,0.0,DDR4,,,,,,,Desktop,HTPC,negro,bricolaje,4.0,2.0,1.0,,,,,,382.97,424.7,403.84,20.0,39.5,1.5,4.0,,,,2.1,4.1,,16.0,2.1,15.0,1,20.0,715.0,33.0,,123.0,73.0,3731.0,190.0,,398.0,51.0,,24.0
3.0,Barebone,,,"wifi, Bluetooth",,,Intel,,DDR4,,,,,,,Desktop,,,,,,,,,,,,691.9,865.93,778.91,,,,,,,,,,,,,,1,5.0,916.0,45.0,,,,3731.0,,,398.0,,,
2.0,Barebone,sin disco duro,,Ethernet,,,,0.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,Desktop,barebone,negro,bricolaje,,4.0,,,canal 7.1,,,,249.0,328.0,288.5,21.93,16.8,,,,,,,,128.0,21.0,,,1,,15.0,,,,67.0,,,29.0,398.0,,34.0,749.0
2.0,Barebone,,,"Ethernet, Bluetooth, wifi",Bluetooth 5.2,IEEE 802.11ax,Intel,,DDR5,GDDR6,,ninguno,LAN 10/100/1000/2500,,,Desktop,barebone,blanco,bricolaje,,2.0,1.0,,,,,,1630.91,1699.71,1665.31,20.3,21.0,,,,4800.0,,2.1,5.0,,6.0,2.1,,1,46.0,358.0,22.0,41.0,,931.0,679.0,833.0,,,337.0,34.0,
5.0,Barebone,disco duro SSD,,wifi,,,Intel,,DDR4,,,,,,,Desktop,,negro,bricolaje,,2.0,,,,,,,290.99,450.88,370.94,19.0,16.5,1.3,,,,,,,64.0,4.0,,,1,,,33.0,,529.0,,,,49.0,,,,749.0
3.0,Barebone,sin disco duro,,Ethernet,,,,0.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,Desktop,cubo,negro,bricolaje,,4.0,,4.0,canal 5.1,,,,388.99,424.99,406.99,33.2,21.5,3.5,,,,,,,128.0,19.0,,,1,,15.0,33.0,,,67.0,,,2.0,398.0,,,
1.0,Barebone,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,,Intel,0.0,,,,ninguno,Ethernet 10/100/1000,,,Desktop,factor de forma pequeño (SFF),negro,bricolaje,12.0,,2.0,,,,,,2573.7,2573.7,2573.7,3.8,20.3,,12.0,,,,2.6,4.5,64.0,13.0,,45.0,1,4.0,715.0,45.0,,52.0,,3731.0,833.0,,398.0,813.0,24.0,2.0
1.0,Barebone,disco duro SSD,HDMI,"Ethernet, wifi, Bluetooth",Bluetooth 5.3,Wi-Fi 6E,Intel,1.0,DDR4,GDDR6,64.0,ninguno,,,,Desktop,barebone,negro,"profesional, empresas",16.0,2.0,1.0,1.0,,,,,1198.15,1198.15,1198.15,12.7,6.6,,20.0,16.0,3200.0,512.0,2.5,4.6,64.0,36.0,2.5,65.0,1,47.0,183.0,17.0,2259.0,866.0,67.0,679.0,947.0,49.0,389.0,233.0,,749.0
1.0,Barebone,,,"Ethernet, wifi, Bluetooth",,,Intel,,DDR4,,,,,,,Desktop,,,,4.0,,,,,,,,397.86,397.86,397.86,,,,6.0,,,,1.7,4.1,,,,28.0,1,48.0,715.0,,,25.0,,3731.0,190.0,,398.0,51.0,,24.0
2.0,Barebone,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",,,,,DDR4,,,,,,,Desktop,barebone,,bricolaje,,,,,,,,,155.84,169.95,162.89,17.6,20.5,,,,,,,,32.0,3.0,,,1,,,,,,78.0,,,,398.0,,,
3.0,Barebone,sin disco duro,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ac,Intel,0.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,Desktop,,negro,bricolaje,2.0,,,,,,,,326.0,490.0,408.0,,,,4.0,,,,1.1,2.8,,,,6.0,1,37.0,715.0,8.0,,74.0,73.0,3731.0,,,398.0,51.0,,26.0
1.0,Barebone,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ac,,1.0,,,64.0,,Ethernet 10/100/1000,,,Desktop,nettop,,bricolaje,,,,,,,,,529.0,529.0,529.0,11.5,11.5,,,4.0,,128.0,,,16.0,4.0,,,1,37.0,715.0,,,,931.0,,,,200.0,,,
,Barebone,,,"wifi, Bluetooth, Ethernet",Bluetooth 5.0,,Intel,0.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,Desktop,barebone,negro,,,2.0,1.0,,,,,,,,,12.7,12.7,,,,,,,2.8,,4.0,1.1,,1,7.0,715.0,22.0,4.0,,1.0,3731.0,,,398.0,397.0,,
1.0,Barebone,,,"Ethernet, Bluetooth, wifi",,,,,,,,,,,,Desktop,factor de forma pequeño (SFF),,bricolaje,,,2.0,,,,,,2573.7,2573.7,2573.7,3.8,20.3,,,,,,,,,13.0,,,1,,,45.0,,,,,,,,,24.0,
1.0,Barebone,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,Intel,0.0,DDR4,,,ninguno,LAN 10/100/1000/2500,,,Desktop,barebone,,empresas,16.0,,,,,,,,640.68,640.68,640.68,4.785,11.0,,12.0,,3200.0,,1.7,4.4,,11.0,1.7,,1,28.0,916.0,4.0,,,59.0,3731.0,947.0,,398.0,297.0,,
1.0,Barebone,,,,,,Intel,,,,,,,,,Desktop,,,,,,,,,,,,941.81,941.81,941.81,,,,,,,,,,,,,,1,1.0,2.0,,,,,,,,,,,
1.0,Barebone,,,Ethernet,,,,,DDR4,,,,Ethernet 10/100/1000,,,Desktop,,,,,2.0,,,,,,,185.48,185.48,185.48,,,,,,,,,,32.0,,,,1,,,,,,,,,2.0,,,,
2.0,Barebone,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",,,,,DDR4,,,,,,,Desktop,barebone,,bricolaje,,,,,,,,,155.84,169.95,162.89,17.6,20.5,,,,,,,,32.0,3.0,,,1,,,,,,931.0,,,,398.0,,,
